loanaccount;INTERESTCALCULATIONMETHOD;simple;0.00
loanaccount;INTERESTCALCULATIONMETHOD;compound;0.30
loanaccount;INTERESTCALCULATIONMETHOD;continuously compound;0.70
loanaccount;HASCUSTOMSCHEDULE;False;0.00
loanaccount;HASCUSTOMSCHEDULE;True;1.00
loanaccount;ACCRUEINTERESTAFTERMATURITY;False;0.00
loanaccount;ACCRUEINTERESTAFTERMATURITY;True;1.00
loanaccount;LINEOFCREDITKEY;1;0.01
loanaccount;LINEOFCREDITKEY;2;0.04
loanaccount;LINEOFCREDITKEY;3;0.05
loanaccount;LINEOFCREDITKEY;4;0.07
loanaccount;LINEOFCREDITKEY;5;0.09
loanaccount;LINEOFCREDITKEY;6;0.11
loanaccount;LINEOFCREDITKEY;7;0.13
loanaccount;LINEOFCREDITKEY;8;0.15
loanaccount;LINEOFCREDITKEY;9;0.16
loanaccount;LINEOFCREDITKEY;10;0.19
loanproduct;ALLOWARBITRARYFEES;False;0.00
loanproduct;ALLOWARBITRARYFEES;True;1.00
loanproduct;ACCOUNTLINKINGENABLED;False;0.00
loanproduct;ACCOUNTLINKINGENABLED;True;1.00
loanproduct;SCHEDULEDUEDATESMETHOD;interval;0.00
loanproduct;SCHEDULEDUEDATESMETHOD;conditional;0.10
loanproduct;SCHEDULEDUEDATESMETHOD;function;0.20
loanproduct;SCHEDULEDUEDATESMETHOD;fractional;0.30
loanproduct;SCHEDULEDUEDATESMETHOD;workday;0.40
loanproduct;TAXESONPENALTYENABLED;False;0.00
loanproduct;TAXESONPENALTYENABLED;True;1.00
